,Food,Price (KRW),Price (USD),Location,Map URL,Video URL
0,Margherita Pizza,"KRW 16,800",USD 15.0,"Yongho-dong, Changwon, Korea",https://goo.gl/maps/JrDtLiaHNEtjWawP7,https://youtube.com/watch?v=Rj8Qe76WJWs
1,Stellar Bulgogi Pizza,"KRW 20,800",USD 18.6,,,
2,meat Tteokbokki,"KRW 18,000",USD 16.0,"Yongho-dong, Changwon, Korea",https://goo.gl/maps/neHnNWGBFNbdGZLq6,https://youtube.com/watch?v=jSgL-IB7I2U
3,Assorted fried food,"KRW 7,500",USD 6.7,,,
4,green tea ice cream strawberry crepe,"KRW 6,500",USD 5.8,"Oedong, Gimhae Korea",https://goo.gl/maps/KyTC5QztKxitDmaU7,https://youtube.com/watch?v=xXxKhCz-7T0
5,nutella strawberry banana crepe,"KRW 5,000",USD 4.5,,,
6,pork belly ,Samgyeopsal,300g,"Onsan-eup, Ulsan Korea",https://goo.gl/maps/85jefmvSXcPnFS8u9,https://youtube.com/watch?v=xuy7y8fZTJY
7,1 box of sun shaped bread ,"KRW 15,000",USD 13.4,"Sinam-ri, Ulsan Korea",https://goo.gl/maps/deHtoonLahxJZWAp7,https://youtube.com/watch?v=Zt_ed3qDmHw
8,korean wine rice cake (50 pieces),"KRW 14,000",USD 12.5,"Yangsan, Gyeongnam, Korea",https://goo.gl/maps/1z7xsYySGFKo13uE9,https://youtube.com/watch?v=lgbUTliFtrE
9,Cream Cheese Garlic Bread,"KRW 4,800",USD 4.2,"Yongho-dong, Changwon, Korea",https://goo.gl/maps/dPzKdJjVWYb83ST28,https://youtube.com/watch?v=s8hFYWvZzdo
10,Yangju Egg Fried Rice ,"KRW 9,500",USD 8.5,"Yongho-dong, Changwon, South Korea",https://goo.gl/maps/12TUgRhu7mkQa4gWA,https://youtube.com/watch?v=VChhdFZcWyA
